Branch,Efficiency_Score,Status
Collins & Randol Mills Bnkg Ctr Brh,0.999841,Inefficient
Edinburg Banking Center Branch,0.999841,Inefficient
Hazel Crest Banking Center Branch,0.999841,Inefficient
Horizon Town Center Branch,0.999841,Inefficient
Mccartney & Pinal Banking Ctr Branch,0.999841,Inefficient
Quincy & Buckley Banking Ctr Branch,0.999841,Inefficient
Romeo Plank and 26 Mile Branch,0.999841,Inefficient
Stockbridge Village Branch,0.999841,Inefficient
West Side Branch,0.999841,Inefficient
Yorktown Branch,0.999841,Inefficient
North West Street Branch,0.99984,Inefficient
Shadyside Branch,0.99984,Inefficient
Shelby Street Branch,0.99984,Inefficient
Crestwood Branch,0.999839,Inefficient
Indian Trail Branch,0.999839,Inefficient
Lake Elsinore Stater Bros Bnk Ctr Br,0.999839,Inefficient
Nappanee Branch,0.999839,Inefficient
Sylvan Corners Branch,0.999839,Inefficient
Ellettsville Branch,0.999838,Inefficient
North Orange Blossom Branch,0.999838,Inefficient
Danbury Lake Ave Branch,0.999837,Inefficient
Gateway Branch,0.999837,Inefficient
Grand Canyon Branch,0.999837,Inefficient
Jessamine County Branch,0.999837,Inefficient
Chicago - Chatham Village Square Branch,0.999836,Inefficient
North Harrison Branch,0.999836,Inefficient
North Medford Branch,0.999836,Inefficient
Chelan Branch,0.999835,Inefficient
Castle Hill Avenue Branch,0.999834,Inefficient
Cheney Branch,0.999834,Inefficient
Cosby Station Branch,0.999834,Inefficient
Dequindre-Eight Mile Branch,0.999834,Inefficient
Ellensburg Branch,0.999834,Inefficient
Grove City East Branch,0.999834,Inefficient
Hwy 6 and Forest Branch,0.999834,Inefficient
Salem Trotwood Branch,0.999834,Inefficient
Second Avenue Branch,0.999834,Inefficient
Burbank Albertsons Branch,0.999833,Inefficient
Clarksvlle Branch,0.999833,Inefficient
Eagle Branch,0.999833,Inefficient
Ewing Branch,0.999833,Inefficient
Jefferson Township Branch,0.999833,Inefficient
Moscow Branch,0.999833,Inefficient
Broadway Lorain Branch,0.999832,Inefficient
Chauvin Branch,0.999832,Inefficient
Minoa Branch,0.999832,Inefficient
Montague Branch,0.999832,Inefficient
New Baltimore Kroger Branch,0.999832,Inefficient
Nolana and 29th Branch,0.999832,Inefficient
Twelve Mile Campbell Farmer Jack Br,0.999832,Inefficient
Alger Heights Branch,0.999831,Inefficient
Bloomington Downtown Branch,0.999831,Inefficient
Lawrenceville - Sugarloaf Branch,0.999831,Inefficient
Ross and Prairie Branch,0.999831,Inefficient
LA Gran Branch,0.99983,Inefficient
Monroe Branch,0.99983,Inefficient
Upper Sandusky Branch,0.99983,Inefficient
Bulverde & Evans Banking Ctr Branch,0.999829,Inefficient
Crenshaw and Imperial Branch,0.999829,Inefficient
